#  wavelength                                                             g      
  372                                                                    0.00017
  373                                                                    0.00017
  374                                                                    0.00017
  375                                                                    0.00018
  376                                                                    0.00019
  377                                                                    0.00019
  378                                                                    0.00021
  379                                                                    0.00024
  380                                                                    0.00026
  381                                                                    0.00029
  382                                                                    0.00033
  383                                                                    0.00039
  384                                                                    0.00044
  385                                                                    0.00052
  386                                                                    0.00063
  387                                                                    0.00073
  388                                                                    0.0009 
  389                                                                    0.00107
  390                                                                    0.00134
  391                                                                    0.0018 
  392                                                                    0.00241
  393                                                                    0.00313
  394                                                                    0.00385
  395                                                                    0.01242
  396                                                                    0.04417
  397                                                                    0.0857 
  398                                                                    0.11965
  399                                                                    0.12397
  400                                                                    0.13403
  401                                                                    0.13963
  402                                                                    0.14745
  403                                                                    0.14977
  404                                                                    0.15125
  405                                                                    0.15274
  406                                                                    0.15597
  407                                                                    0.15923
  408                                                                    0.16179
  409                                                                    0.16405
  410                                                                    0.16628
  411                                                                    0.16802
  412                                                                    0.17082
  413                                                                    0.17365
  414                                                                    0.17575
  415                                                                    0.17819
  416                                                                    0.18354
  417                                                                    0.18631
  418                                                                    0.18824
  419                                                                    0.19017
  420                                                                    0.19075
  421                                                                    0.19168
  422                                                                    0.19447
  423                                                                    0.19692
  424                                                                    0.20192
  425                                                                    0.2038 
  426                                                                    0.20665
  427                                                                    0.20913
  428                                                                    0.21235
  429                                                                    0.2152 
  430                                                                    0.21956
  431                                                                    0.22112
  432                                                                    0.22403
  433                                                                    0.22447
  434                                                                    0.22781
  435                                                                    0.23068
  436                                                                    0.23272
  437                                                                    0.23325
  438                                                                    0.23886
  439                                                                    0.24306
  440                                                                    0.24334
  441                                                                    0.24795
  442                                                                    0.24901
  443                                                                    0.25135
  444                                                                    0.25264
  445                                                                    0.25457
  446                                                                    0.25654
  447                                                                    0.25874
  448                                                                    0.26059
  449                                                                    0.26195
  450                                                                    0.26252
  451                                                                    0.26576
  452                                                                    0.2669 
  453                                                                    0.26996
  454                                                                    0.27182
  455                                                                    0.27432
  456                                                                    0.27366
  457                                                                    0.27639
  458                                                                    0.27663
  459                                                                    0.27827
  460                                                                    0.28077
  461                                                                    0.28185
  462                                                                    0.28471
  463                                                                    0.28687
  464                                                                    0.28892
  465                                                                    0.28982
  466                                                                    0.291  
  467                                                                    0.29274
  468                                                                    0.29265
  469                                                                    0.29258
  470                                                                    0.2942 
  471                                                                    0.29852
  472                                                                    0.29741
  473                                                                    0.29887
  474                                                                    0.30065
  475                                                                    0.30228
  476                                                                    0.30478
  477                                                                    0.3055 
  478                                                                    0.30591
  479                                                                    0.30625
  480                                                                    0.30734
  481                                                                    0.31012
  482                                                                    0.31095
  483                                                                    0.31283
  484                                                                    0.31411
  485                                                                    0.31356
  486                                                                    0.31298
  487                                                                    0.3149 
  488                                                                    0.31702
  489                                                                    0.31904
  490                                                                    0.31977
  491                                                                    0.32262
  492                                                                    0.32339
  493                                                                    0.3234 
  494                                                                    0.32311
  495                                                                    0.32308
  496                                                                    0.32533
  497                                                                    0.32642
  498                                                                    0.32876
  499                                                                    0.33072
  500                                                                    0.33022
  501                                                                    0.33209
  502                                                                    0.33272
  503                                                                    0.33466
  504                                                                    0.33534
  505                                                                    0.3362 
  506                                                                    0.33652
  507                                                                    0.33795
  508                                                                    0.33978
  509                                                                    0.34055
  510                                                                    0.3427 
  511                                                                    0.34272
  512                                                                    0.34157
  513                                                                    0.34206
  514                                                                    0.34304
  515                                                                    0.3458 
  516                                                                    0.34685
  517                                                                    0.34807
  518                                                                    0.34834
  519                                                                    0.34929
  520                                                                    0.35023
  521                                                                    0.35198
  522                                                                    0.35408
  523                                                                    0.35637
  524                                                                    0.35843
  525                                                                    0.35922
  526                                                                    0.36046
  527                                                                    0.35977
  528                                                                    0.36034
  529                                                                    0.36029
  530                                                                    0.36066
  531                                                                    0.36117
  532                                                                    0.36331
  533                                                                    0.36362
  534                                                                    0.3655 
  535                                                                    0.36708
  536                                                                    0.36876
  537                                                                    0.36906
  538                                                                    0.36849
  539                                                                    0.365  
  540                                                                    0.36467
  541                                                                    0.36242
  542                                                                    0.36734
  543                                                                    0.3716 
  544                                                                    0.37607
  545                                                                    0.32277
  546                                                                    0.32495
  547                                                                    0.24254
  548                                                                    0.13981
  549                                                                    0.06281
  550                                                                    0.06486
  551                                                                    0.01255
  552                                                                    0.00601
  553                                                                    0.00317
  554                                                                    0.00165
  555                                                                    0.00304
  556                                                                    0.00059
  557                                                                    0.00042
  558                                                                    0.00032
  559                                                                    0.00038
  560                                                                    0.00023
  561                                                                    0.0002 
  562                                                                    0.00019
  563                                                                    0.00016
  564                                                                    0.00025
  565                                                                    0.00014
  566                                                                    0.00013
  567                                                                    0.00012
  568                                                                    0.00012
  569                                                                    0.00011
  570                                                                    0.00011
  571                                                                    0.00017
  572                                                                    0.0001 
