#  wavelength                                                             i      
  688                                                                    0.0017 
  689                                                                    0.0025 
  690                                                                    0.00233
  691                                                                    0.00273
  692                                                                    0.00312
  693                                                                    0.00379
  694                                                                    0.00443
  695                                                                    0.00577
  696                                                                    0.00711
  697                                                                    0.01045
  698                                                                    0.01363
  699                                                                    0.04628
  700                                                                    0.03292
  701                                                                    0.04638
  702                                                                    0.0601 
  703                                                                    0.08735
  704                                                                    0.11407
  705                                                                    0.15083
  706                                                                    0.18851
  707                                                                    0.2326 
  708                                                                    0.27654
  709                                                                    0.35156
  710                                                                    0.35919
  711                                                                    0.39753
  712                                                                    0.43618
  713                                                                    0.45949
  714                                                                    0.48335
  715                                                                    0.49618
  716                                                                    0.50821
  717                                                                    0.49859
  718                                                                    0.49527
  719                                                                    0.4917 
  720                                                                    0.48666
  721                                                                    0.50827
  722                                                                    0.51965
  723                                                                    0.51573
  724                                                                    0.50363
  725                                                                    0.50804
  726                                                                    0.50948
  727                                                                    0.5142 
  728                                                                    0.5144 
  729                                                                    0.51975
  730                                                                    0.51905
  731                                                                    0.51644
  732                                                                    0.52598
  733                                                                    0.53199
  734                                                                    0.5342 
  735                                                                    0.53279
  736                                                                    0.52988
  737                                                                    0.53243
  738                                                                    0.5365 
  739                                                                    0.53837
  740                                                                    0.54449
  741                                                                    0.54652
  742                                                                    0.54856
  743                                                                    0.55021
  744                                                                    0.5511 
  745                                                                    0.55152
  746                                                                    0.55117
  747                                                                    0.55079
  748                                                                    0.55117
  749                                                                    0.54956
  750                                                                    0.55204
  751                                                                    0.55295
  752                                                                    0.5531 
  753                                                                    0.55329
  754                                                                    0.55425
  755                                                                    0.55354
  756                                                                    0.55283
  757                                                                    0.55163
  758                                                                    0.54967
  759                                                                    0.50813
  760                                                                    0.2276 
  761                                                                    0.20224
  762                                                                    0.36122
  763                                                                    0.31158
  764                                                                    0.33663
  765                                                                    0.39419
  766                                                                    0.46423
  767                                                                    0.50028
  768                                                                    0.52359
  769                                                                    0.53739
  770                                                                    0.54703
  771                                                                    0.55104
  772                                                                    0.55203
  773                                                                    0.55371
  774                                                                    0.55464
  775                                                                    0.55667
  776                                                                    0.55793
  777                                                                    0.55897
  778                                                                    0.56   
  779                                                                    0.55949
  780                                                                    0.55898
  781                                                                    0.55964
  782                                                                    0.55955
  783                                                                    0.55919
  784                                                                    0.55884
  785                                                                    0.55819
  786                                                                    0.55754
  787                                                                    0.55577
  788                                                                    0.554  
  789                                                                    0.54919
  790                                                                    0.54668
  791                                                                    0.54643
  792                                                                    0.54523
  793                                                                    0.54367
  794                                                                    0.54359
  795                                                                    0.5397 
  796                                                                    0.53214
  797                                                                    0.53289
  798                                                                    0.53584
  799                                                                    0.53698
  800                                                                    0.53664
  801                                                                    0.53771
  802                                                                    0.53879
  803                                                                    0.54128
  804                                                                    0.54603
  805                                                                    0.5452 
  806                                                                    0.54846
  807                                                                    0.56254
  808                                                                    0.55078
  809                                                                    0.54615
  810                                                                    0.54234
  811                                                                    0.53812
  812                                                                    0.53708
  813                                                                    0.52716
  814                                                                    0.53044
  815                                                                    0.52817
  816                                                                    0.51892
  817                                                                    0.52193
  818                                                                    0.52258
  819                                                                    0.52182
  820                                                                    0.52843
  821                                                                    0.5365 
  822                                                                    0.52609
  823                                                                    0.50479
  824                                                                    0.5187 
  825                                                                    0.5267 
  826                                                                    0.52721
  827                                                                    0.52771
  828                                                                    0.52316
  829                                                                    0.52818
  830                                                                    0.53471
  831                                                                    0.53992
  832                                                                    0.54708
  833                                                                    0.55579
  834                                                                    0.54913
  835                                                                    0.55017
  836                                                                    0.54446
  837                                                                    0.5395 
  838                                                                    0.54519
  839                                                                    0.54641
  840                                                                    0.54532
  841                                                                    0.5475 
  842                                                                    0.54425
  843                                                                    0.55423
  844                                                                    0.5503 
  845                                                                    0.56301
  846                                                                    0.5535 
  847                                                                    0.57298
  848                                                                    0.28538
  849                                                                    0.55304
  850                                                                    0.56697
  851                                                                    0.55553
  852                                                                    0.56032
  853                                                                    0.49049
  854                                                                    0.47954
  855                                                                    0.33257
  856                                                                    0.31565
  857                                                                    0.1651 
  858                                                                    0.16244
  859                                                                    0.06654
  860                                                                    0.06245
  861                                                                    0.02343
  862                                                                    0.02357
  863                                                                    0.00865
  864                                                                    0.00899
  865                                                                    0.00377
  866                                                                    0.00348
  867                                                                    0.00156
  868                                                                    0.00143
  869                                                                    0.0013 
  870                                                                    0.00276
  871                                                                    0.00092
  872                                                                    0.00092
  873                                                                    0.00093
  874                                                                    0.00061
  875                                                                    0.00044
  876                                                                    0.00048
  877                                                                    0.00052
  878                                                                    0.00038
  879                                                                    0.00024
  880                                                                    0.00059
  881                                                                    0.00064
  882                                                                    0.00061
  883                                                                    0.00057
  884                                                                    0.00053
  885                                                                    0.00032
  886                                                                    0.00039
  887                                                                    0.00047
