#  wavelength                                                             r      
  518                                                                    0.00021
  519                                                                    0.00022
  520                                                                    0.00023
  521                                                                    0.00028
  522                                                                    0.00027
  523                                                                    0.00028
  524                                                                    0.0003 
  525                                                                    0.00033
  526                                                                    0.00036
  527                                                                    0.0004 
  528                                                                    0.00043
  529                                                                    0.00042
  530                                                                    0.00042
  531                                                                    0.0005 
  532                                                                    0.00058
  533                                                                    0.00064
  534                                                                    0.00071
  535                                                                    0.00079
  536                                                                    0.00087
  537                                                                    0.00096
  538                                                                    0.00104
  539                                                                    0.00115
  540                                                                    0.00134
  541                                                                    0.00146
  542                                                                    0.00167
  543                                                                    0.00189
  544                                                                    0.00212
  545                                                                    0.00241
  546                                                                    0.0027 
  547                                                                    0.00303
  548                                                                    0.00335
  549                                                                    0.00388
  550                                                                    0.00442
  551                                                                    0.00573
  552                                                                    0.00531
  553                                                                    0.00596
  554                                                                    0.00661
  555                                                                    0.00749
  556                                                                    0.00836
  557                                                                    0.00955
  558                                                                    0.01075
  559                                                                    0.01931
  560                                                                    0.02784
  561                                                                    0.02576
  562                                                                    0.02368
  563                                                                    0.04039
  564                                                                    0.0571 
  565                                                                    0.11081
  566                                                                    0.16462
  567                                                                    0.24803
  568                                                                    0.3304 
  569                                                                    0.36801
  570                                                                    0.40715
  571                                                                    0.41438
  572                                                                    0.41838
  573                                                                    0.42087
  574                                                                    0.42271
  575                                                                    0.42406
  576                                                                    0.42675
  577                                                                    0.42892
  578                                                                    0.43111
  579                                                                    0.43298
  580                                                                    0.43554
  581                                                                    0.43914
  582                                                                    0.44276
  583                                                                    0.44427
  584                                                                    0.44578
  585                                                                    0.44594
  586                                                                    0.4461 
  587                                                                    0.44421
  588                                                                    0.44097
  589                                                                    0.43767
  590                                                                    0.43845
  591                                                                    0.4464 
  592                                                                    0.4433 
  593                                                                    0.44782
  594                                                                    0.44822
  595                                                                    0.44593
  596                                                                    0.44915
  597                                                                    0.44819
  598                                                                    0.44998
  599                                                                    0.45187
  600                                                                    0.45375
  601                                                                    0.45575
  602                                                                    0.45713
  603                                                                    0.45857
  604                                                                    0.46001
  605                                                                    0.46095
  606                                                                    0.4612 
  607                                                                    0.46147
  608                                                                    0.46175
  609                                                                    0.4624 
  610                                                                    0.46376
  611                                                                    0.46833
  612                                                                    0.46706
  613                                                                    0.46941
  614                                                                    0.47176
  615                                                                    0.47234
  616                                                                    0.47362
  617                                                                    0.4744 
  618                                                                    0.4759 
  619                                                                    0.47645
  620                                                                    0.47727
  621                                                                    0.47717
  622                                                                    0.47707
  623                                                                    0.47832
  624                                                                    0.47884
  625                                                                    0.47906
  626                                                                    0.47927
  627                                                                    0.47849
  628                                                                    0.46404
  629                                                                    0.47479
  630                                                                    0.47735
  631                                                                    0.48029
  632                                                                    0.48177
  633                                                                    0.48462
  634                                                                    0.48602
  635                                                                    0.48784
  636                                                                    0.49039
  637                                                                    0.49211
  638                                                                    0.49457
  639                                                                    0.4955 
  640                                                                    0.49717
  641                                                                    0.49855
  642                                                                    0.49993
  643                                                                    0.49957
  644                                                                    0.49994
  645                                                                    0.49977
  646                                                                    0.49741
  647                                                                    0.49647
  648                                                                    0.49552
  649                                                                    0.49797
  650                                                                    0.50188
  651                                                                    0.50606
  652                                                                    0.49922
  653                                                                    0.50393
  654                                                                    0.50499
  655                                                                    0.50546
  656                                                                    0.50741
  657                                                                    0.50866
  658                                                                    0.51065
  659                                                                    0.51207
  660                                                                    0.51276
  661                                                                    0.51569
  662                                                                    0.51481
  663                                                                    0.51336
  664                                                                    0.51265
  665                                                                    0.51296
  666                                                                    0.51401
  667                                                                    0.51589
  668                                                                    0.51703
  669                                                                    0.52045
  670                                                                    0.52127
  671                                                                    0.52118
  672                                                                    0.52184
  673                                                                    0.52159
  674                                                                    0.52208
  675                                                                    0.52151
  676                                                                    0.52169
  677                                                                    0.52164
  678                                                                    0.52232
  679                                                                    0.52258
  680                                                                    0.52358
  681                                                                    0.52544
  682                                                                    0.52563
  683                                                                    0.52599
  684                                                                    0.52561
  685                                                                    0.52545
  686                                                                    0.5238 
  687                                                                    0.45398
  688                                                                    0.47555
  689                                                                    0.47003
  690                                                                    0.48065
  691                                                                    0.50044
  692                                                                    0.50573
  693                                                                    0.50839
  694                                                                    0.50735
  695                                                                    0.51148
  696                                                                    0.51339
  697                                                                    0.52101
  698                                                                    0.51902
  699                                                                    0.51422
  700                                                                    0.51624
  701                                                                    0.51714
  702                                                                    0.52102
  703                                                                    0.52574
  704                                                                    0.52522
  705                                                                    0.51969
  706                                                                    0.51788
  707                                                                    0.51369
  708                                                                    0.50875
  709                                                                    0.4756 
  710                                                                    0.46584
  711                                                                    0.47325
  712                                                                    0.48072
  713                                                                    0.44097
  714                                                                    0.402  
  715                                                                    0.31305
  716                                                                    0.22429
  717                                                                    0.14939
  718                                                                    0.07976
  719                                                                    0.06763
  720                                                                    0.05552
  721                                                                    0.09334
  722                                                                    0.00781
  723                                                                    0.00645
  724                                                                    0.00504
  725                                                                    0.00345
  726                                                                    0.00185
  727                                                                    0.00139
  728                                                                    0.00091
  729                                                                    0.00085
  730                                                                    0.00078
  731                                                                    0.00095
  732                                                                    0.00078
  733                                                                    0.00056
  734                                                                    0.00033
  735                                                                    0.00031
  736                                                                    0.00029
  737                                                                    0.00029
  738                                                                    0.00029
  739                                                                    0.00034
  740                                                                    0.00039
