#  wavelength                                                             u      
  334                                                                    0.00139
  335                                                                    0.00275
  336                                                                    0.00346
  337                                                                    0.00395
  338                                                                    0.00455
  339                                                                    0.00468
  340                                                                    0.00471
  341                                                                    0.00566
  342                                                                    0.00635
  343                                                                    0.00723
  344                                                                    0.00809
  345                                                                    0.00904
  346                                                                    0.00997
  347                                                                    0.00978
  348                                                                    0.01148
  349                                                                    0.01179
  350                                                                    0.01283
  351                                                                    0.01389
  352                                                                    0.01431
  353                                                                    0.01606
  354                                                                    0.01846
  355                                                                    0.01908
  356                                                                    0.02236
  357                                                                    0.02272
  358                                                                    0.02554
  359                                                                    0.02754
  360                                                                    0.02964
  361                                                                    0.03094
  362                                                                    0.03505
  363                                                                    0.03718
  364                                                                    0.03933
  365                                                                    0.0415 
  366                                                                    0.04778
  367                                                                    0.0483 
  368                                                                    0.05411
  369                                                                    0.0549 
  370                                                                    0.05972
  371                                                                    0.06152
  372                                                                    0.06438
  373                                                                    0.06741
  374                                                                    0.07102
  375                                                                    0.07466
  376                                                                    0.07834
  377                                                                    0.08188
  378                                                                    0.08514
  379                                                                    0.08844
  380                                                                    0.09331
  381                                                                    0.09493
  382                                                                    0.0975 
  383                                                                    0.09989
  384                                                                    0.10447
  385                                                                    0.10755
  386                                                                    0.11066
  387                                                                    0.1143 
  388                                                                    0.11822
  389                                                                    0.11963
  390                                                                    0.12105
  391                                                                    0.12479
  392                                                                    0.12931
  393                                                                    0.13032
  394                                                                    0.13457
  395                                                                    0.13817
  396                                                                    0.14129
  397                                                                    0.14048
  398                                                                    0.12003
  399                                                                    0.09108
  400                                                                    0.0504 
  401                                                                    0.01881
  402                                                                    0.00771
  403                                                                    0.00309
  404                                                                    0.00137
  405                                                                    0.00126
  406                                                                    0.00106
  407                                                                    0.00037
  408                                                                    0.00021
  409                                                                    0.0002 
